,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2018-02-22,10660.400390625,11039.099609375,9939.08984375,10005.0,10005.0,8040079872.0,BTC-USD,12236.922,9337.5498046875,-667.4501953125,0.0
2018-02-24,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,9813.0703125,6917929984.0,BTC-USD,10867.938,9578.6298828125,-234.4404296875,0.0
2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375,10725.599609375,6966179840.0,BTC-USD,9436.273,8269.8095703125,0.0,2455.7900390625
2018-03-06,11500.099609375,11500.099609375,10694.2998046875,10779.900390625,10779.900390625,6832169984.0,BTC-USD,10341.045,8929.2802734375,0.0,1850.6201171875
2018-03-15,8290.759765625,8428.349609375,7783.0498046875,8300.8603515625,8300.8603515625,6834429952.0,BTC-USD,6614.7837,6890.52001953125,0.0,1410.34033203125
2018-03-22,8939.4404296875,9100.7099609375,8564.900390625,8728.4697265625,8728.4697265625,5530390016.0,BTC-USD,8829.575,6636.31982421875,-2092.14990234375,0.0
2018-03-23,8736.25,8879.6201171875,8360.6201171875,8879.6201171875,8879.6201171875,5954120192.0,BTC-USD,9180.102,6911.08984375,-1968.5302734375,0.0
2018-04-04,6848.64990234375,6933.81982421875,6644.7998046875,6811.47021484375,6811.47021484375,5639320064.0,BTC-USD,5948.3105,8845.830078125,0.0,-2034.35986328125
2018-04-06,6630.509765625,7050.5400390625,6630.509765625,6911.08984375,6911.08984375,3976610048.0,BTC-USD,5796.176,8802.4599609375,0.0,-1891.3701171875
2018-04-07,6919.97998046875,7111.56005859375,6919.97998046875,7023.52001953125,7023.52001953125,3652499968.0,BTC-USD,5894.658,8930.8798828125,0.0,-1907.35986328125
2018-04-21,8925.0595703125,9001.6396484375,8779.6103515625,8802.4599609375,8802.4599609375,6629899776.0,BTC-USD,8772.633,9373.009765625,0.0,-570.5498046875
2018-04-23,8934.33984375,9732.6103515625,8927.830078125,9697.5,9697.5,10678800384.0,BTC-USD,8946.724,9325.1796875,0.0,372.3203125
2018-04-24,9701.0302734375,9745.3203125,8799.83984375,8845.740234375,8845.740234375,11083100160.0,BTC-USD,8974.409,9043.9404296875,198.2001953125,0.0
2018-04-27,8939.26953125,9412.08984375,8931.990234375,9348.48046875,9348.48046875,7805479936.0,BTC-USD,8555.98,8723.9404296875,0.0,624.5400390625
2018-04-29,9426.1103515625,9477.1396484375,9166.8095703125,9240.5498046875,9240.5498046875,8673920000.0,BTC-USD,8441.793,8510.3798828125,0.0,730.169921875
2018-05-06,9645.669921875,9665.849609375,9231.5302734375,9373.009765625,9373.009765625,7394019840.0,BTC-USD,8879.283,8041.77978515625,0.0,1331.22998046875
2018-05-11,8441.4404296875,8664.8603515625,8223.5,8504.8896484375,8504.8896484375,6821380096.0,BTC-USD,7930.945,7368.22021484375,0.0,1136.66943359375
2018-05-14,8705.1904296875,8836.1904296875,8456.4501953125,8510.3798828125,8510.3798828125,6705710080.0,BTC-USD,7695.0156,7406.52001953125,0.0,1103.85986328125
2018-05-15,8504.41015625,8508.4296875,8175.490234375,8368.830078125,8368.830078125,6760220160.0,BTC-USD,7687.5425,7494.169921875,0.0,874.66015625
2018-05-31,7500.7001953125,7604.72998046875,7407.33984375,7541.4501953125,7541.4501953125,4921460224.0,BTC-USD,7300.0825,6550.16015625,0.0,991.2900390625
2018-06-07,7685.14013671875,7698.18994140625,7558.39990234375,7624.919921875,7624.919921875,4227579904.0,BTC-USD,7579.0884,6162.47998046875,0.0,1462.43994140625
2018-06-19,6770.759765625,6821.56005859375,6611.8798828125,6776.5498046875,6776.5498046875,3888640000.0,BTC-USD,5894.5674,6639.14013671875,0.0,137.40966796875
2018-06-23,6164.27978515625,6223.77978515625,5826.41015625,6173.22998046875,6173.22998046875,4566909952.0,BTC-USD,5880.895,6741.75,0.0,-568.52001953125
